target	phase	metric	reached	total	ratio	eff_ratio	unwind	flags	exit_uncov
nsm_dcd_event_handlers	p1	k-path	12	126	0.095	0.095	10	LANG	0
nsm_dcd_event_handlers	p2	k-path	1	110	0.009	0.009	k≤6	FUNC	0
soc_sma_filter	p1	branch-fn	4	4	1.000	1.000	4	LANG	0
soc_sma_filter	p2	branch-fn	4	4	1.000	1.000	k≤6	FUNC	0
debug_telemetry_sma	p1	branch-fn	4	4	1.000	1.000	4	LANG	0
debug_telemetry_sma	p2	branch-fn	4	4	1.000	1.000	k≤6	FUNC	0
pca9555	p1	k-path	24	132	0.182	0.182	4	LANG	0
pca9555	p2	k-path	24	132	0.182	0.182	k≤6	FUNC	0
ntc_table	p1	k-path	11	22	0.500	0.500	9	LANG	0
ntc_table	p2	k-path	14	118	0.119	0.119	k≤4	FUNC	0
mctp_validator	p1	k-path	1	136	0.007	0.008	4	LANG	16
mctp_validator	p2	k-path	3	138	0.022	0.025	k≤16	FUNC	16
nsm_bitmask	p1	branch-fn	11	11	1.000	1.000	4	LANG	0
nsm_bitmask	p2	branch-fn	11	11	1.000	1.000	k≤6	FUNC	0
mctp_packet	p1	branch-fn	8	12	0.667	0.667	4	LANG	0
mctp_packet	p2	branch-fn	10	12	0.833	0.833	k≤6	FUNC	0
mctp_router	p1	k-path	2	2	1.000	1.000	4	LANG	0
mctp_router	p2	k-path	2	2	1.000	1.000	k≤6	FUNC	0
nsm_type5_validate	p1	k-path	14	22	0.636	0.636	4	LANG	0
nsm_type5_validate	p2	k-path	14	22	0.636	0.636	k≤6	FUNC	0
